unique.split,parent.split,host,parent.host
542,unassigned_region-SPLIT1,542,unassigned_region
50,unassigned_region-SPLIT2,50,unassigned_region
908,50,908,50
615,50,615,50
79,unassigned_region-SPLIT2,79,unassigned_region
205,328,205,328
703,205,703,205
328,542,328,542
691,unassigned_region-SPLIT1,691,unassigned_region
247,691,247,691
596,unassigned_region-SPLIT1,596,unassigned_region
881,unassigned_region-SPLIT3,881,unassigned_region
26,unassigned_region-SPLIT3,26,unassigned_region
796,unassigned_region-SPLIT3,796,unassigned_region
179,unassigned_region-SPLIT3,179,unassigned_region
291,unassigned_region-SPLIT3,291,unassigned_region
57,596,57,596
33,unassigned_region-SPLIT1,33,unassigned_region
112,33,112,33
271,unassigned_region-SPLIT4,271,unassigned_region
59,unassigned_region-SPLIT4,59,unassigned_region
599,76,599,76
916,76,916,76
165,916,165,916
154,165,154,165
76,unassigned_region-SPLIT4,76,unassigned_region
199,112,199,112
709,199,709,199
230,unassigned_region-SPLIT1,230,unassigned_region
159,230,159,230
895,159,895,159
unassigned_region-SPLIT1,root,unassigned_region,root
unassigned_region-SPLIT2,542,unassigned_region,542
unassigned_region-SPLIT3,596,unassigned_region,596
unassigned_region-SPLIT4,112,unassigned_region,112
