unique.split,parent.split,host,parent.host
259-SPLIT1,unassigned_region-SPLIT1,259,unassigned_region
134,unassigned_region-SPLIT2,134,unassigned_region
444,unassigned_region-SPLIT2,444,unassigned_region
341,444,341,444
21,341,21,341
70,444,70,444
193,70,193,70
135,70,135,70
549,unassigned_region-SPLIT3,549,unassigned_region
245,unassigned_region-SPLIT3,245,unassigned_region
86,444,86,444
121,444,121,444
364,444,364,444
126,444,126,444
537,unassigned_region-SPLIT2,537,unassigned_region
259-SPLIT2,unassigned_region-SPLIT1,259,unassigned_region
911,unassigned_region-SPLIT4,911,unassigned_region
303,911,303,911
650,355,650,355
355,unassigned_region-SPLIT4,355,unassigned_region
278,355,278,355
497,259-SPLIT2,497,259
544,497,544,497
438,unassigned_region-SPLIT5,438,unassigned_region
92,759,92,759
759,unassigned_region-SPLIT5,759,unassigned_region
610,759,610,759
345,497,345,497
556,497,556,497
188,unassigned_region-SPLIT6,188,unassigned_region
408,unassigned_region-SPLIT6,408,unassigned_region
756,unassigned_region-SPLIT7,756,unassigned_region
147,unassigned_region-SPLIT7,147,unassigned_region
unassigned_region-SPLIT1,root,unassigned_region,root
unassigned_region-SPLIT2,259-SPLIT1,unassigned_region,259
unassigned_region-SPLIT3,70,unassigned_region,70
unassigned_region-SPLIT4,259-SPLIT2,unassigned_region,259
unassigned_region-SPLIT5,497,unassigned_region,497
unassigned_region-SPLIT6,556,unassigned_region,556
unassigned_region-SPLIT7,408,unassigned_region,408
