dataset,phylo_prec,phylo_rec,phylo_f1,phylo_multi_prec,phylo_multi_rec,phylo_multi_f1,phylo_complex_prec,phylo_complex_rec,phylo_complex_f1,tnet_prec,tnet_rec,tnet_f1,tnet_mul_prec,tnet_mul_rec,tnet_mul_f1,tnet_boot_prec,tnet_boot_rec,tnet_boot_f1
SEIR015_sl1000_mr0125_nv10_1,0.906,0.397,0.552,1,0.904,0.95,1,0.959,0.979,0.789,0.822,0.805,0.921,0.795,0.853,1,0.767,0.868
SEIR015_sl1000_mr0125_nv10_10,0.818,0.474,0.6,1,0.842,0.914,0.941,0.842,0.889,0.789,0.789,0.789,0.938,0.789,0.857,0.933,0.737,0.824
SEIR015_sl1000_mr0125_nv10_11,0.833,0.385,0.526,1,0.692,0.818,0.818,0.692,0.75,0.692,0.692,0.692,0.818,0.692,0.75,1,0.769,0.87
SEIR015_sl1000_mr0125_nv10_12,1,0.286,0.444,1,0.643,0.783,1,0.714,0.833,0.857,0.857,0.857,0.846,0.786,0.815,1,0.714,0.833
SEIR015_sl1000_mr0125_nv10_13,0.963,0.52,0.675,0.979,0.94,0.959,0.979,0.94,0.959,0.9,0.9,0.9,0.976,0.82,0.891,0.978,0.88,0.926
SEIR015_sl1000_mr0125_nv10_14,0.78,0.615,0.688,0.975,0.75,0.848,0.909,0.769,0.833,0.746,0.846,0.793,0.774,0.788,0.781,0.976,0.788,0.872
SEIR015_sl1000_mr0125_nv10_15,0.765,0.289,0.419,0.967,0.644,0.773,0.935,0.644,0.763,0.66,0.689,0.674,0.59,0.511,0.548,0.962,0.556,0.704
SEIR015_sl1000_mr0125_nv10_16,0.769,0.635,0.696,0.974,0.587,0.733,0.896,0.683,0.775,0.676,0.762,0.716,0.774,0.762,0.768,1,0.778,0.875
SEIR015_sl1000_mr0125_nv10_17,0.75,0.577,0.652,1,0.692,0.818,0.875,0.808,0.84,0.594,0.731,0.655,0.654,0.654,0.654,0.957,0.846,0.898
SEIR015_sl1000_mr0125_nv10_18,0.625,0.5,0.556,1,0.7,0.824,0.889,0.8,0.842,0.667,0.8,0.727,0.7,0.7,0.7,1,0.8,0.889
SEIR015_sl1000_mr0125_nv10_19,0.882,0.484,0.625,1,0.548,0.708,0.95,0.613,0.745,0.5,0.516,0.508,0.857,0.581,0.692,0.95,0.613,0.745
SEIR015_sl1000_mr0125_nv10_2,0.9,0.562,0.692,0.917,0.688,0.786,0.846,0.688,0.759,0.588,0.625,0.606,0.833,0.625,0.714,0.923,0.75,0.828
SEIR015_sl1000_mr0125_nv10_20,0.929,0.634,0.754,1,0.829,0.907,1,0.951,0.975,0.814,0.854,0.833,0.939,0.756,0.838,0.972,0.854,0.909
SEIR015_sl1000_mr0125_nv10_3,0.714,0.556,0.625,1,0.667,0.8,0.75,0.667,0.706,0.727,0.889,0.8,0.8,0.889,0.842,1,1,1
SEIR015_sl1000_mr0125_nv10_4,1,0.6,0.75,1,0.7,0.824,1,0.8,0.889,0.8,0.8,0.8,1,0.8,0.889,1,0.8,0.889
