dataset,phylo_tp,phylo_fp,phylo_fn,phylo_multi_tp,phylo_multi_fp,phylo_multi_fn,phylo_complex_tp,phylo_complex_fp,phylo_complex_fn,tnet_tp,tnet_fp,tnet_fn,tnet_mul_tp,tnet_mul_fp,tnet_mul_fn,tnet_boot_tp,tnet_boot_fp,tnet_boot_fn
SEIR015_sl1000_mr05_nv10_1,6,4,11,12,0,5,12,1,5,11,9,6,10,5,7,14,2,3
SEIR015_sl1000_mr05_nv10_10,7,1,2,0,0,9,0,1,9,8,2,1,8,2,1,8,0,1
SEIR015_sl1000_mr05_nv10_11,3,5,5,3,0,5,3,1,5,3,6,5,3,6,5,4,0,4
SEIR015_sl1000_mr05_nv10_12,4,3,4,2,0,6,3,2,5,8,3,0,8,3,0,7,0,1
SEIR015_sl1000_mr05_nv10_13,37,2,24,52,1,9,53,1,8,58,3,3,49,3,12,49,1,12
SEIR015_sl1000_mr05_nv10_14,13,2,33,37,0,9,41,2,5,30,25,16,29,8,17,31,0,15
SEIR015_sl1000_mr05_nv10_15,3,1,8,6,0,5,8,0,3,9,3,2,7,3,4,8,0,3
SEIR015_sl1000_mr05_nv10_16,26,2,15,32,0,9,35,0,6,38,8,3,36,6,5,35,1,6
SEIR015_sl1000_mr05_nv10_17,32,17,37,52,0,17,56,4,13,54,26,15,52,13,17,56,0,13
SEIR015_sl1000_mr05_nv10_18,19,6,22,25,1,16,28,3,13,35,10,6,33,9,8,31,0,10
SEIR015_sl1000_mr05_nv10_19,16,12,16,26,0,6,30,1,2,28,9,4,27,7,5,30,0,2
SEIR015_sl1000_mr05_nv10_2,13,0,29,39,1,3,39,1,3,35,7,7,30,3,12,32,2,10
SEIR015_sl1000_mr05_nv10_20,5,14,36,23,0,18,24,2,17,18,33,23,12,26,29,11,0,30
SEIR015_sl1000_mr05_nv10_3,38,5,18,44,1,12,46,3,10,48,11,8,45,6,11,48,1,8
SEIR015_sl1000_mr05_nv10_4,9,10,23,20,0,12,25,2,7,21,14,11,21,13,11,27,1,5
SEIR015_sl1000_mr05_nv10_5,5,2,6,8,0,3,8,1,3,9,2,2,9,2,2,7,1,4
SEIR015_sl1000_mr05_nv10_6,13,2,17,25,0,5,25,2,5,20,12,10,18,4,12,20,2,10
SEIR015_sl1000_mr05_nv10_7,8,5,5,7,1,6,10,2,3,10,11,3,9,7,4,10,1,3
SEIR015_sl1000_mr05_nv10_8,22,4,14,31,0,5,32,1,4,29,11,7,26,9,10,30,0,6
SEIR015_sl1000_mr05_nv10_9,7,1,8,9,0,6,9,1,6,11,7,4,12,1,3,8,0,7
SEIR01_sl1000_mr05_nv10_1,6,1,7,10,1,3,10,1,3,9,4,4,9,2,4,10,1,3
SEIR01_sl1000_mr05_nv10_10,6,1,1,6,1,1,6,1,1,6,1,1,6,1,1,6,1,1
SEIR01_sl1000_mr05_nv10_11,22,5,10,25,2,7,26,2,6,25,10,7,25,8,7,28,2,4
SEIR01_sl1000_mr05_nv10_12,41,3,17,44,4,14,47,4,11,50,9,8,47,3,11,43,4,15
SEIR01_sl1000_mr05_nv10_13,2,1,6,5,1,3,5,1,3,7,1,1,7,1,1,7,1,1
SEIR01_sl1000_mr05_nv10_14,24,2,15,33,0,6,34,0,5,29,11,10,32,3,7,27,0,12
SEIR01_sl1000_mr05_nv10_15,11,1,5,12,1,4,12,1,4,14,2,2,13,2,3,15,1,1
SEIR01_sl1000_mr05_nv10_16,19,1,3,21,1,1,21,1,1,21,1,1,21,1,1,21,1,1
SEIR01_sl1000_mr05_nv10_17,13,1,9,21,2,1,21,3,1,20,3,2,20,1,2,20,1,2
SEIR01_sl1000_mr05_nv10_18,42,4,14,49,1,7,50,1,6,49,8,7,48,7,8,52,1,4
SEIR01_sl1000_mr05_nv10_19,3,0,4,4,0,3,4,0,3,4,4,3,4,2,3,4,0,3
SEIR01_sl1000_mr05_nv10_2,7,1,1,6,1,2,6,1,2,8,1,0,8,1,0,7,1,1
SEIR01_sl1000_mr05_nv10_20,37,2,15,46,2,6,48,2,4,43,10,9,43,3,9,45,1,7
SEIR01_sl1000_mr05_nv10_3,15,2,10,17,4,8,17,4,8,21,4,4,20,2,5,17,2,8
SEIR01_sl1000_mr05_nv10_4,7,2,4,7,0,4,8,0,3,8,4,3,8,4,3,8,2,3
SEIR01_sl1000_mr05_nv10_5,14,2,4,16,1,2,16,1,2,16,2,2,16,2,2,16,2,2
SEIR01_sl1000_mr05_nv10_6,22,4,18,36,1,4,36,1,4,34,6,6,32,4,8,35,2,5
SEIR01_sl1000_mr05_nv10_7,32,6,14,34,3,12,34,4,12,37,10,9,37,9,9,35,2,11
SEIR01_sl1000_mr05_nv10_8,7,1,1,7,1,1,7,1,1,7,1,1,7,1,1,7,1,1
SEIR01_sl1000_mr05_nv10_9,17,1,9,24,0,2,24,1,2,24,2,2,24,2,2,22,1,4
SIR003_sl1000_mr05_nv10_1,9,2,8,11,0,6,11,0,6,10,7,7,10,6,7,12,0,5
SIR003_sl1000_mr05_nv10_10,10,0,3,10,0,3,10,0,3,11,2,2,11,2,2,11,1,2
SIR003_sl1000_mr05_nv10_11,17,4,18,22,7,13,22,7,13,24,11,11,22,10,13,23,6,12
SIR003_sl1000_mr05_nv10_12,37,1,18,42,9,13,42,10,13,43,12,12,42,7,13,40,3,15
SIR003_sl1000_mr05_nv10_13,30,1,26,39,10,17,40,11,16,46,10,10,40,7,16,40,6,16
SIR003_sl1000_mr05_nv10_14,7,0,3,9,0,1,9,0,1,10,0,0,10,0,0,9,0,1
SIR003_sl1000_mr05_nv10_15,8,0,5,9,1,4,9,1,4,11,2,2,10,1,3,10,1,3
SIR003_sl1000_mr05_nv10_16,15,1,10,18,5,7,18,5,7,21,5,4,19,5,6,17,3,8
SIR003_sl1000_mr05_nv10_17,5,1,9,6,2,8,6,2,8,7,7,7,6,2,8,6,2,8
SIR003_sl1000_mr05_nv10_18,14,1,9,15,1,8,15,1,8,17,6,6,17,3,6,17,3,6
SIR003_sl1000_mr05_nv10_19,25,5,12,29,1,8,29,1,8,29,9,8,26,9,11,32,1,5
SIR003_sl1000_mr05_nv10_2,10,0,5,11,1,4,11,1,4,14,1,1,14,1,1,14,1,1
SIR003_sl1000_mr05_nv10_20,2,0,7,3,5,6,3,5,6,4,5,5,2,1,7,4,1,5
SIR003_sl1000_mr05_nv10_3,6,0,4,7,1,3,7,1,3,8,2,2,7,2,3,7,1,3
SIR003_sl1000_mr05_nv10_4,9,1,4,9,1,4,9,1,4,11,2,2,11,2,2,11,1,2
SIR003_sl1000_mr05_nv10_5,10,3,36,24,13,22,24,14,22,20,26,26,20,16,26,22,9,24
SIR003_sl1000_mr05_nv10_6,10,1,11,11,2,10,11,3,10,16,5,5,13,6,8,14,4,7
SIR003_sl1000_mr05_nv10_7,17,0,6,19,2,4,19,2,4,20,3,3,19,2,4,19,2,4
SIR003_sl1000_mr05_nv10_8,23,0,23,36,7,10,36,7,10,33,13,13,31,3,15,35,6,11
SIR003_sl1000_mr05_nv10_9,11,0,19,14,6,16,14,6,16,16,14,14,14,3,16,14,5,16
SIR003_sl1000_mr05_nv20_1,19,0,16,27,5,8,27,5,8,26,9,9,25,5,10,24,3,11
SIR003_sl1000_mr05_nv20_10,38,0,14,42,7,10,42,7,10,43,9,9,42,3,10,40,2,12
SIR003_sl1000_mr05_nv20_11,2,0,3,2,0,3,2,0,3,2,3,3,2,0,3,2,0,3
SIR003_sl1000_mr05_nv20_12,28,5,27,39,11,16,41,11,14,37,18,18,37,11,18,36,3,19
SIR003_sl1000_mr05_nv20_13,32,1,22,35,11,19,35,11,19,41,13,13,36,8,18,31,4,23
SIR003_sl1000_mr05_nv20_14,9,0,1,9,0,1,9,0,1,10,0,0,9,0,1,9,0,1
SIR003_sl1000_mr05_nv20_15,13,2,6,13,3,6,13,3,6,14,5,5,13,2,6,14,3,5
SIR003_sl1000_mr05_nv20_16,27,2,16,30,4,13,30,4,13,31,13,12,30,7,13,30,3,13
SIR003_sl1000_mr05_nv20_17,28,2,22,34,12,16,34,12,16,34,17,16,32,9,18,34,5,16
SIR003_sl1000_mr05_nv20_18,21,0,17,26,7,12,26,7,12,29,9,9,26,6,12,23,4,15
SIR003_sl1000_mr05_nv20_19,21,0,16,28,5,9,28,6,9,28,9,9,26,4,11,27,4,10
SIR003_sl1000_mr05_nv20_2,26,3,23,34,6,15,34,6,15,35,15,14,33,8,16,33,4,16
SIR003_sl1000_mr05_nv20_20,5,0,2,6,1,1,6,1,1,6,1,1,6,1,1,6,1,1
SIR003_sl1000_mr05_nv20_3,7,0,6,8,2,5,8,2,5,9,4,4,8,2,5,8,2,5
