dataset,phylo_tp,phylo_fp,phylo_fn,phylo_complex_tp,phylo_complex_fp,phylo_complex_fn,tnet_tp,tnet_fp,tnet_fn
SEIR015_sl1000_mr025_nv20_7,29,2,7,29,6,7,32,0,4
SEIR015_sl1000_mr025_nv20_8,49,0,18,55,1,12,48,0,19
SEIR015_sl1000_mr025_nv20_9,16,0,2,17,1,1,13,1,5
SEIR015_sl1000_mr025_nv5_1,6,0,8,6,2,8,8,0,6
SEIR015_sl1000_mr025_nv5_10,15,0,21,23,1,13,16,0,20
SEIR015_sl1000_mr025_nv5_11,34,1,13,37,4,10,24,1,23
SEIR015_sl1000_mr025_nv5_12,7,2,4,7,2,4,4,0,7
SEIR015_sl1000_mr025_nv5_13,22,0,9,23,2,8,23,0,8
SEIR015_sl1000_mr025_nv5_14,11,1,4,11,2,4,11,1,4
SEIR015_sl1000_mr025_nv5_15,48,8,17,49,11,16,48,3,17
SEIR015_sl1000_mr025_nv5_16,22,0,4,22,1,4,18,0,8
SEIR015_sl1000_mr025_nv5_17,31,1,10,32,1,9,35,1,6
SEIR015_sl1000_mr025_nv5_18,35,5,20,36,6,19,34,2,21
SEIR015_sl1000_mr025_nv5_19,2,0,9,4,1,7,3,0,8
SEIR015_sl1000_mr025_nv5_2,4,0,5,4,0,5,4,0,5
SEIR015_sl1000_mr025_nv5_20,27,0,14,28,3,13,18,0,23
SEIR015_sl1000_mr025_nv5_3,13,1,14,16,1,11,11,1,16
SEIR015_sl1000_mr025_nv5_4,35,0,15,37,1,13,29,0,21
SEIR015_sl1000_mr025_nv5_5,7,0,14,8,1,13,5,0,16
SEIR015_sl1000_mr025_nv5_6,37,0,25,38,2,24,27,2,35
SEIR015_sl1000_mr025_nv5_7,22,0,4,22,1,4,15,0,11
SEIR015_sl1000_mr025_nv5_8,16,0,7,16,2,7,14,0,9
SEIR015_sl1000_mr025_nv5_9,18,1,22,21,4,19,18,1,22
SEIR015_sl1000_mr05_nv10_1,12,0,5,12,1,5,14,2,3
SEIR015_sl1000_mr05_nv10_10,0,0,9,0,1,9,8,0,1
SEIR015_sl1000_mr05_nv10_11,3,0,5,3,1,5,4,0,4
SEIR015_sl1000_mr05_nv10_12,2,0,6,3,2,5,7,0,1
SEIR015_sl1000_mr05_nv10_13,52,1,9,53,1,8,49,1,12
SEIR015_sl1000_mr05_nv10_14,37,0,9,41,2,5,31,0,15
SEIR015_sl1000_mr05_nv10_15,6,0,5,8,0,3,8,0,3
SEIR015_sl1000_mr05_nv10_16,32,0,9,35,0,6,35,1,6
SEIR015_sl1000_mr05_nv10_17,52,0,17,56,4,13,56,0,13
SEIR015_sl1000_mr05_nv10_18,25,1,16,28,3,13,31,0,10
SEIR015_sl1000_mr05_nv10_19,26,0,6,30,1,2,30,0,2
SEIR015_sl1000_mr05_nv10_2,39,1,3,39,1,3,32,2,10
SEIR015_sl1000_mr05_nv10_20,23,0,18,24,2,17,11,0,30
SEIR015_sl1000_mr05_nv10_3,44,1,12,46,3,10,48,1,8
SEIR015_sl1000_mr05_nv10_4,20,0,12,25,2,7,27,1,5
SEIR015_sl1000_mr05_nv10_5,8,0,3,8,1,3,7,1,4
SEIR015_sl1000_mr05_nv10_6,25,0,5,25,2,5,20,2,10
SEIR015_sl1000_mr05_nv10_7,7,1,6,10,2,3,10,1,3
SEIR015_sl1000_mr05_nv10_8,31,0,5,32,1,4,30,0,6
SEIR015_sl1000_mr05_nv10_9,9,0,6,9,1,6,8,0,7
SEIR015_sl250_mr025_nv10_1,4,1,13,10,5,7,13,1,4
SEIR015_sl250_mr025_nv10_10,32,0,27,46,4,13,36,0,23
SEIR015_sl250_mr025_nv10_11,8,3,26,11,12,23,14,2,20
SEIR015_sl250_mr025_nv10_12,17,0,26,20,9,23,23,2,20
SEIR015_sl250_mr025_nv10_13,10,0,6,10,1,6,11,0,5
SEIR015_sl250_mr025_nv10_14,3,0,22,9,12,16,16,1,9
SEIR015_sl250_mr025_nv10_15,23,1,26,37,7,12,32,3,17
SEIR015_sl250_mr025_nv10_16,4,2,23,11,4,16,8,3,19
SEIR015_sl250_mr025_nv10_17,1,0,11,3,0,9,3,0,9
SEIR015_sl250_mr025_nv10_18,0,0,11,6,3,5,0,1,11
SEIR015_sl250_mr025_nv10_19,14,0,23,22,2,15,17,0,20
SEIR015_sl250_mr025_nv10_2,3,0,19,11,2,11,6,1,16
SEIR015_sl250_mr025_nv10_20,14,0,19,25,3,8,26,2,7
SEIR015_sl250_mr025_nv10_3,0,1,15,0,7,15,3,2,12
SEIR015_sl250_mr025_nv10_4,10,0,15,15,5,10,16,2,9
SEIR015_sl250_mr025_nv10_5,1,0,7,1,1,7,4,0,4
SEIR015_sl250_mr025_nv10_6,17,0,18,19,10,16,24,2,11
SEIR015_sl250_mr025_nv10_7,3,0,5,5,4,3,5,1,3
SEIR015_sl250_mr025_nv10_8,18,0,9,19,2,8,20,0,7
SEIR015_sl250_mr025_nv10_9,6,1,9,8,7,7,8,2,7
SEIR015_sl500_mr025_nv10_1,6,0,4,6,3,4,8,3,2
SEIR015_sl500_mr025_nv10_10,38,1,5,39,3,4,37,1,6
SEIR015_sl500_mr025_nv10_11,0,0,8,3,2,5,4,0,4
SEIR015_sl500_mr025_nv10_12,44,0,9,45,2,8,37,1,16
SEIR015_sl500_mr025_nv10_13,18,0,10,18,7,10,22,0,6
SEIR015_sl500_mr025_nv10_14,1,0,8,2,0,7,7,1,2
SEIR015_sl500_mr025_nv10_15,50,0,8,52,1,6,42,0,16
SEIR015_sl500_mr025_nv10_16,5,0,7,7,2,5,9,0,3
SEIR015_sl500_mr025_nv10_17,7,0,7,8,3,6,9,0,5
SEIR015_sl500_mr025_nv10_18,23,0,3,23,1,3,18,1,8
SEIR015_sl500_mr025_nv10_19,5,0,5,6,1,4,9,0,1
SEIR015_sl500_mr025_nv10_2,4,0,4,5,1,3,5,2,3
SEIR015_sl500_mr025_nv10_20,49,0,15,53,6,11,45,0,19
SEIR015_sl500_mr025_nv10_3,15,5,22,15,11,22,17,1,20
SEIR015_sl500_mr025_nv10_4,20,1,21,31,3,10,32,2,9
SEIR015_sl500_mr025_nv10_5,11,0,3,11,1,3,14,1,0
SEIR015_sl500_mr025_nv10_6,10,0,9,13,1,6,17,0,2
SEIR015_sl500_mr025_nv10_7,37,1,25,38,10,24,34,2,28
SEIR015_sl500_mr025_nv10_8,35,0,32,40,12,27,49,1,18
SEIR015_sl500_mr025_nv10_9,5,0,6,7,4,4,7,3,4
SEIR01_sl1000_mr0125_nv10_1,14,0,4,15,0,3,15,0,3
SEIR01_sl1000_mr0125_nv10_10,48,2,6,50,2,4,44,4,10
SEIR01_sl1000_mr0125_nv10_11,12,0,1,12,0,1,11,1,2
SEIR01_sl1000_mr0125_nv10_12,2,0,3,2,0,3,4,0,1
SEIR01_sl1000_mr0125_nv10_13,7,0,3,8,1,2,10,0,0
SEIR01_sl1000_mr0125_nv10_14,28,1,2,28,1,2,28,1,2
SEIR01_sl1000_mr0125_nv10_15,19,0,5,20,1,4,17,0,7
SEIR01_sl1000_mr0125_nv10_16,4,1,3,4,1,3,5,1,2
SEIR01_sl1000_mr0125_nv10_17,7,2,5,8,4,4,10,2,2
SEIR01_sl1000_mr0125_nv10_18,39,4,6,39,5,6,39,2,6
SEIR01_sl1000_mr0125_nv10_19,23,0,7,26,0,4,27,1,3
SEIR01_sl1000_mr0125_nv10_2,19,0,7,21,1,5,26,0,0
SEIR01_sl1000_mr0125_nv10_20,20,1,5,21,3,4,23,1,2
SEIR01_sl1000_mr0125_nv10_3,34,0,4,37,0,1,34,1,4
SEIR01_sl1000_mr0125_nv10_4,18,3,6,18,4,6,19,3,5
SEIR01_sl1000_mr0125_nv10_5,41,0,6,43,2,4,43,0,4
SEIR01_sl1000_mr0125_nv10_6,42,4,6,42,4,6,37,2,11
SEIR01_sl1000_mr0125_nv10_7,34,0,5,34,0,5,34,0,5
SEIR01_sl1000_mr0125_nv10_8,4,1,2,4,1,2,4,2,2
SEIR01_sl1000_mr0125_nv10_9,46,1,1,46,1,1,41,1,6
SEIR01_sl1000_mr025_nv10_1,23,0,5,23,1,5,26,1,2
SEIR01_sl1000_mr025_nv10_10,7,1,2,7,3,2,8,2,1
SEIR01_sl1000_mr025_nv10_11,30,0,5,33,0,2,33,0,2
SEIR01_sl1000_mr025_nv10_12,5,1,3,5,1,3,5,2,3
SEIR01_sl1000_mr025_nv10_13,15,0,5,15,0,5,18,2,2
SEIR01_sl1000_mr025_nv10_14,28,1,6,31,1,3,30,2,4
SEIR01_sl1000_mr025_nv10_15,7,1,3,7,1,3,8,2,2
SEIR01_sl1000_mr025_nv10_16,38,2,4,38,3,4,35,0,7
SEIR01_sl1000_mr025_nv10_17,35,5,10,36,5,9,35,3,10
SEIR01_sl1000_mr025_nv10_18,7,1,2,7,1,2,7,2,2
SEIR01_sl1000_mr025_nv10_19,52,3,7,53,4,6,47,3,12
SEIR01_sl1000_mr025_nv10_2,20,2,2,20,2,2,20,2,2
SEIR01_sl1000_mr025_nv10_20,14,2,3,14,2,3,13,3,4
SEIR01_sl1000_mr025_nv10_3,42,3,7,42,5,7,42,2,7
SEIR01_sl1000_mr025_nv10_4,48,1,4,48,1,4,45,1,7
SEIR01_sl1000_mr025_nv10_5,37,3,7,37,6,7,35,2,9
SEIR01_sl1000_mr025_nv10_6,4,0,3,4,1,3,5,1,2
SEIR01_sl1000_mr025_nv10_7,31,5,9,31,5,9,31,5,9
SEIR01_sl1000_mr025_nv10_8,20,4,7,20,5,7,22,5,5
SEIR01_sl1000_mr025_nv10_9,41,3,6,41,3,6,41,2,6
SEIR01_sl1000_mr025_nv20_1,30,0,2,30,2,2,30,2,2
SEIR01_sl1000_mr025_nv20_10,5,0,4,5,1,4,7,1,2
SEIR01_sl1000_mr025_nv20_11,3,1,2,3,2,2,4,1,1
SEIR01_sl1000_mr025_nv20_12,15,0,3,15,1,3,16,0,2
SEIR01_sl1000_mr025_nv20_13,48,3,10,49,4,9,49,2,9
SEIR01_sl1000_mr025_nv20_14,9,1,4,10,1,3,12,1,1
SEIR01_sl1000_mr025_nv20_15,22,0,1,22,0,1,21,1,2
SEIR01_sl1000_mr025_nv20_16,2,0,5,5,1,2,7,0,0
SEIR01_sl1000_mr025_nv20_17,21,1,4,21,1,4,24,1,1
SEIR01_sl1000_mr025_nv20_18,22,1,4,23,2,3,23,3,3
SEIR01_sl1000_mr025_nv20_19,49,3,4,49,3,4,50,3,3
SEIR01_sl1000_mr025_nv20_2,38,3,4,38,3,4,38,3,4
SEIR01_sl1000_mr025_nv20_20,27,2,4,28,4,3,0,0,31
SEIR01_sl1000_mr025_nv20_3,15,1,6,17,1,4,20,1,1
SEIR01_sl1000_mr025_nv20_4,4,1,4,6,1,2,5,2,3
SEIR01_sl1000_mr025_nv20_5,29,0,4,29,0,4,29,2,4
SEIR01_sl1000_mr025_nv20_6,10,0,1,11,0,0,11,1,0
SEIR01_sl1000_mr025_nv20_7,14,0,3,15,0,2,14,0,3
SEIR01_sl1000_mr025_nv20_8,3,2,2,3,2,2,3,2,2
SEIR01_sl1000_mr025_nv20_9,11,0,1,11,0,1,11,0,1
SEIR01_sl1000_mr025_nv5_1,34,3,7,34,3,7,33,2,8
SEIR01_sl1000_mr025_nv5_10,20,0,13,22,1,11,21,0,12
SEIR01_sl1000_mr025_nv5_11,11,0,8,11,1,8,12,0,7
SEIR01_sl1000_mr025_nv5_12,11,2,8,11,2,8,12,2,7
SEIR01_sl1000_mr025_nv5_13,8,0,4,8,2,4,10,1,2
SEIR01_sl1000_mr025_nv5_14,18,0,2,18,0,2,18,2,2
SEIR01_sl1000_mr025_nv5_15,22,4,5,22,4,5,18,4,9
SEIR01_sl1000_mr025_nv5_16,13,0,5,13,0,5,18,0,0
SEIR01_sl1000_mr025_nv5_17,8,1,3,8,1,3,10,1,1
SEIR01_sl1000_mr025_nv5_18,36,4,11,36,5,11,38,4,9
SEIR01_sl1000_mr025_nv5_19,50,5,8,51,5,7,50,1,8
SEIR01_sl1000_mr025_nv5_2,13,1,3,13,1,3,13,1,3
SEIR01_sl1000_mr025_nv5_20,15,0,9,15,0,9,17,1,7
SEIR01_sl1000_mr025_nv5_3,7,1,3,8,1,2,8,1,2
SEIR01_sl1000_mr025_nv5_4,36,9,14,39,10,11,36,4,14
SEIR01_sl1000_mr025_nv5_5,39,9,12,40,9,11,28,2,23
SEIR01_sl1000_mr025_nv5_6,5,2,3,5,2,3,5,3,3
SEIR01_sl1000_mr025_nv5_7,8,0,2,8,0,2,9,0,1
SEIR01_sl1000_mr025_nv5_8,16,1,7,18,1,5,18,1,5
SEIR01_sl1000_mr025_nv5_9,5,1,4,5,1,4,6,1,3
SEIR01_sl1000_mr05_nv10_1,10,1,3,10,1,3,10,1,3
SEIR01_sl1000_mr05_nv10_10,6,1,1,6,1,1,6,1,1
SEIR01_sl1000_mr05_nv10_11,25,2,7,26,2,6,28,2,4
SEIR01_sl1000_mr05_nv10_12,44,4,14,47,4,11,43,4,15
SEIR01_sl1000_mr05_nv10_13,5,1,3,5,1,3,7,1,1
SEIR01_sl1000_mr05_nv10_14,33,0,6,34,0,5,27,0,12
SEIR01_sl1000_mr05_nv10_15,12,1,4,12,1,4,15,1,1
SEIR01_sl1000_mr05_nv10_16,21,1,1,21,1,1,21,1,1
SEIR01_sl1000_mr05_nv10_17,21,2,1,21,3,1,20,1,2
SEIR01_sl1000_mr05_nv10_18,49,1,7,50,1,6,52,1,4
SEIR01_sl1000_mr05_nv10_19,4,0,3,4,0,3,4,0,3
SEIR01_sl1000_mr05_nv10_2,6,1,2,6,1,2,7,1,1
SEIR01_sl1000_mr05_nv10_20,46,2,6,48,2,4,45,1,7
SEIR01_sl1000_mr05_nv10_3,17,4,8,17,4,8,17,2,8
SEIR01_sl1000_mr05_nv10_4,7,0,4,8,0,3,8,2,3
SEIR01_sl1000_mr05_nv10_5,16,1,2,16,1,2,16,2,2
SEIR01_sl1000_mr05_nv10_6,36,1,4,36,1,4,35,2,5
SEIR01_sl1000_mr05_nv10_7,34,3,12,34,4,12,35,2,11
SEIR01_sl1000_mr05_nv10_8,7,1,1,7,1,1,7,1,1
SEIR01_sl1000_mr05_nv10_9,24,0,2,24,1,2,22,1,4
SEIR01_sl250_mr025_nv10_1,26,0,19,31,3,14,33,3,12
SEIR01_sl250_mr025_nv10_10,8,0,9,11,2,6,11,2,6
SEIR01_sl250_mr025_nv10_11,6,1,10,12,3,4,11,2,5
SEIR01_sl250_mr025_nv10_12,31,2,12,35,7,8,36,0,7
SEIR01_sl250_mr025_nv10_13,1,1,5,2,2,4,3,2,3
SEIR01_sl250_mr025_nv10_14,25,2,21,27,11,19,28,7,18
SEIR01_sl250_mr025_nv10_15,2,0,5,6,0,1,6,1,1
SEIR01_sl250_mr025_nv10_16,22,1,24,33,5,13,32,2,14
SEIR01_sl250_mr025_nv10_17,1,0,7,5,3,3,6,2,2
SEIR01_sl250_mr025_nv10_18,17,0,15,25,2,7,27,0,5
SEIR01_sl250_mr025_nv10_19,7,0,5,8,1,4,9,1,3
SEIR01_sl250_mr025_nv10_2,5,0,9,6,3,8,11,2,3
SEIR01_sl250_mr025_nv10_20,8,0,10,14,1,4,14,2,4
SEIR01_sl250_mr025_nv10_3,21,0,6,23,4,4,23,3,4
SEIR01_sl250_mr025_nv10_4,9,0,5,11,1,3,12,0,2
SEIR01_sl250_mr025_nv10_5,25,1,16,29,7,12,33,6,8
SEIR01_sl250_mr025_nv10_6,9,2,13,14,11,8,15,4,7
SEIR01_sl250_mr025_nv10_7,6,1,8,9,4,5,12,1,2
SEIR01_sl250_mr025_nv10_8,17,0,17,22,4,12,25,0,9
SEIR01_sl250_mr025_nv10_9,52,0,9,55,4,6,54,0,7
SEIR01_sl500_mr025_nv10_1,5,0,5,5,0,5,6,1,4
SEIR01_sl500_mr025_nv10_10,10,0,4,10,0,4,10,4,4
SEIR01_sl500_mr025_nv10_11,11,1,6,13,2,4,15,3,2
SEIR01_sl500_mr025_nv10_12,44,3,7,45,5,6,46,3,5
SEIR01_sl500_mr025_nv10_13,14,0,6,18,0,2,16,0,4
SEIR01_sl500_mr025_nv10_14,3,0,3,3,1,3,4,1,2
SEIR01_sl500_mr025_nv10_15,48,0,10,51,1,7,48,1,10
SEIR01_sl500_mr025_nv10_16,10,1,5,11,2,4,12,2,3
SEIR01_sl500_mr025_nv10_17,2,1,4,2,1,4,2,2,4
SEIR01_sl500_mr025_nv10_18,3,1,3,4,1,2,4,2,2
SEIR01_sl500_mr025_nv10_19,3,1,5,5,2,3,6,2,2
SEIR01_sl500_mr025_nv10_2,3,0,5,4,2,4,6,1,2
SEIR01_sl500_mr025_nv10_20,25,5,7,25,5,7,24,2,8
SEIR01_sl500_mr025_nv10_3,16,1,5,18,4,3,17,2,4
SEIR01_sl500_mr025_nv10_4,4,1,3,5,1,2,5,1,2
SEIR01_sl500_mr025_nv10_5,2,0,3,4,0,1,2,0,3
SEIR01_sl500_mr025_nv10_6,45,1,8,49,2,4,46,1,7
SEIR01_sl500_mr025_nv10_7,27,1,7,29,2,5,29,3,5
SEIR01_sl500_mr025_nv10_8,8,0,8,9,4,7,16,2,0
SEIR01_sl500_mr025_nv10_9,6,1,3,7,1,2,7,2,2
SIR003_sl1000_mr025_nv10_1,10,3,4,10,3,4,10,3,4
SIR003_sl1000_mr025_nv10_10,11,1,2,11,1,2,11,1,2
SIR003_sl1000_mr025_nv10_11,19,7,11,19,7,11,18,5,12
SIR003_sl1000_mr025_nv10_12,38,4,11,40,6,9,38,1,11
SIR003_sl1000_mr025_nv10_13,4,2,7,4,2,7,4,2,7
SIR003_sl1000_mr025_nv10_14,10,1,5,10,1,5,12,1,3
SIR003_sl1000_mr025_nv10_15,14,1,10,14,1,10,14,2,10
SIR003_sl1000_mr025_nv10_16,10,3,7,10,3,7,10,1,7
SIR003_sl1000_mr025_nv10_17,17,2,6,18,2,5,18,1,5
SIR003_sl1000_mr025_nv10_18,2,0,3,2,0,3,5,0,0
SIR003_sl1000_mr025_nv10_19,12,4,12,13,4,11,14,4,10
SIR003_sl1000_mr025_nv10_2,15,0,4,16,0,3,15,0,4
SIR003_sl1000_mr025_nv10_20,6,1,3,6,1,3,7,2,2
SIR003_sl1000_mr025_nv10_3,19,0,7,19,0,7,19,0,7
SIR003_sl1000_mr025_nv10_4,21,7,10,21,7,10,20,2,11
SIR003_sl1000_mr025_nv10_5,4,0,3,4,0,3,5,1,2
SIR003_sl1000_mr025_nv10_6,15,6,8,15,6,8,14,3,9
SIR003_sl1000_mr025_nv10_7,9,4,7,9,4,7,9,4,7
SIR003_sl1000_mr025_nv10_8,11,1,4,11,1,4,12,1,3
SIR003_sl1000_mr025_nv10_9,15,6,13,15,6,13,16,3,12
SIR003_sl1000_mr05_nv10_1,11,0,6,11,0,6,12,0,5
SIR003_sl1000_mr05_nv10_10,10,0,3,10,0,3,11,1,2
SIR003_sl1000_mr05_nv10_11,22,7,13,22,7,13,23,6,12
SIR003_sl1000_mr05_nv10_12,42,9,13,42,10,13,40,3,15
SIR003_sl1000_mr05_nv10_13,39,10,17,40,11,16,40,6,16
SIR003_sl1000_mr05_nv10_14,9,0,1,9,0,1,9,0,1
SIR003_sl1000_mr05_nv10_15,9,1,4,9,1,4,10,1,3
SIR003_sl1000_mr05_nv10_16,18,5,7,18,5,7,17,3,8
SIR003_sl1000_mr05_nv10_17,6,2,8,6,2,8,6,2,8
SIR003_sl1000_mr05_nv10_18,15,1,8,15,1,8,17,3,6
SIR003_sl1000_mr05_nv10_19,29,1,8,29,1,8,32,1,5
SIR003_sl1000_mr05_nv10_2,11,1,4,11,1,4,14,1,1
SIR003_sl1000_mr05_nv10_20,3,5,6,3,5,6,4,1,5
SIR003_sl1000_mr05_nv10_3,7,1,3,7,1,3,7,1,3
SIR003_sl1000_mr05_nv10_4,9,1,4,9,1,4,11,1,2
SIR003_sl1000_mr05_nv10_5,24,13,22,24,14,22,22,9,24
SIR003_sl1000_mr05_nv10_6,11,2,10,11,3,10,14,4,7
SIR003_sl1000_mr05_nv10_7,19,2,4,19,2,4,19,2,4
SIR003_sl1000_mr05_nv10_8,36,7,10,36,7,10,35,6,11
SIR003_sl1000_mr05_nv10_9,14,6,16,14,6,16,14,5,16
SIR003_sl1000_mr05_nv20_1,27,5,8,27,5,8,24,3,11
SIR003_sl1000_mr05_nv20_10,42,7,10,42,7,10,40,2,12
SIR003_sl1000_mr05_nv20_11,2,0,3,2,0,3,2,0,3
SIR003_sl1000_mr05_nv20_12,39,11,16,41,11,14,36,3,19
SIR003_sl1000_mr05_nv20_13,35,11,19,35,11,19,31,4,23
SIR003_sl1000_mr05_nv20_14,9,0,1,9,0,1,9,0,1
SIR003_sl1000_mr05_nv20_15,13,3,6,13,3,6,14,3,5
SIR003_sl1000_mr05_nv20_16,30,4,13,30,4,13,30,3,13
SIR003_sl1000_mr05_nv20_17,34,12,16,34,12,16,34,5,16
SIR003_sl1000_mr05_nv20_18,26,7,12,26,7,12,23,4,15
SIR003_sl1000_mr05_nv20_19,28,5,9,28,6,9,27,4,10
SIR003_sl1000_mr05_nv20_2,34,6,15,34,6,15,33,4,16
SIR003_sl1000_mr05_nv20_20,6,1,1,6,1,1,6,1,1
SIR003_sl1000_mr05_nv20_3,8,2,5,8,2,5,8,2,5
SIR003_sl1000_mr05_nv20_4,23,3,9,23,3,9,24,3,8
SIR003_sl1000_mr05_nv20_5,16,2,8,16,2,8,16,2,8
SIR003_sl1000_mr05_nv20_6,11,2,3,11,2,3,11,2,3
SIR003_sl1000_mr05_nv20_7,8,2,4,9,2,3,9,2,3
SIR003_sl1000_mr05_nv20_8,17,6,10,17,6,10,17,6,10
SIR003_sl1000_mr05_nv20_9,30,7,10,32,7,8,29,6,11
SIR003_sl1000_mr05_nv5_1,22,8,13,22,9,13,23,4,12
SIR003_sl1000_mr05_nv5_10,27,5,14,27,6,14,27,3,14
SIR003_sl1000_mr05_nv5_11,36,8,26,37,9,25,34,5,28
SIR003_sl1000_mr05_nv5_12,4,0,2,4,1,2,4,1,2
SIR003_sl1000_mr05_nv5_13,4,1,7,5,1,6,5,1,6
SIR003_sl1000_mr05_nv5_14,17,4,12,17,4,12,14,0,15
SIR003_sl1000_mr05_nv5_15,39,8,23,42,8,20,39,8,23
SIR003_sl1000_mr05_nv5_16,2,1,4,2,1,4,5,1,1
SIR003_sl1000_mr05_nv5_17,26,13,22,27,14,21,22,9,26
SIR003_sl1000_mr05_nv5_18,8,3,8,8,3,8,11,4,5
SIR003_sl1000_mr05_nv5_19,17,7,17,19,9,15,19,6,15
SIR003_sl1000_mr05_nv5_2,5,4,7,5,4,7,8,4,4
SIR003_sl1000_mr05_nv5_20,5,0,8,6,0,7,8,0,5
SIR003_sl1000_mr05_nv5_3,5,1,3,5,1,3,5,1,3
SIR003_sl1000_mr05_nv5_4,11,0,3,11,0,3,11,0,3
SIR003_sl1000_mr05_nv5_5,5,0,6,5,0,6,5,0,6
SIR003_sl1000_mr05_nv5_6,4,3,7,4,3,7,4,0,7
SIR003_sl1000_mr05_nv5_7,38,19,36,39,20,35,36,6,38
