dataset,phylo_tp,phylo_fp,phylo_fn,phylo_multi_tp,phylo_multi_fp,phylo_multi_fn,phylo_complex_tp,phylo_complex_fp,phylo_complex_fn,tnet_tp,tnet_fp,tnet_fn,tnet_mul_tp,tnet_mul_fp,tnet_mul_fn,tnet_boot_tp,tnet_boot_fp,tnet_boot_fn
SEIR015_sl1000_mr0125_nv10_1,29,3,44,66,0,7,70,0,3,60,16,13,58,5,15,56,0,17
SEIR015_sl1000_mr0125_nv10_10,9,2,10,16,0,3,16,1,3,15,4,4,15,1,4,14,1,5
SEIR015_sl1000_mr0125_nv10_11,5,1,8,9,0,4,9,2,4,9,4,4,9,2,4,10,0,3
SEIR015_sl1000_mr0125_nv10_12,4,0,10,9,0,5,10,0,4,12,2,2,11,2,3,10,0,4
SEIR015_sl1000_mr0125_nv10_13,26,1,24,47,1,3,47,1,3,45,5,5,41,1,9,44,1,6
SEIR015_sl1000_mr0125_nv10_14,32,9,20,39,1,13,40,4,12,44,15,8,41,12,11,41,1,11
SEIR015_sl1000_mr0125_nv10_15,13,4,32,29,1,16,29,2,16,31,16,14,23,16,22,25,1,20
SEIR015_sl1000_mr0125_nv10_16,40,12,23,37,1,26,43,5,20,48,23,15,48,14,15,49,0,14
SEIR015_sl1000_mr0125_nv10_17,15,5,11,18,0,8,21,3,5,19,13,7,17,9,9,22,1,4
SEIR015_sl1000_mr0125_nv10_18,5,3,5,7,0,3,8,1,2,8,4,2,7,3,3,8,0,2
SEIR015_sl1000_mr0125_nv10_19,15,2,16,17,0,14,19,1,12,16,16,15,18,3,13,19,1,12
SEIR015_sl1000_mr0125_nv10_2,9,1,7,11,1,5,11,2,5,10,7,6,10,2,6,12,1,4
SEIR015_sl1000_mr0125_nv10_20,26,2,15,34,0,7,39,0,2,35,8,6,31,2,10,35,1,6
SEIR015_sl1000_mr0125_nv10_3,5,2,4,6,0,3,6,2,3,8,3,1,8,2,1,9,0,0
SEIR015_sl1000_mr0125_nv10_4,6,0,4,7,0,3,8,0,2,8,2,2,8,0,2,8,0,2
SEIR015_sl1000_mr0125_nv10_5,11,5,40,47,1,4,47,1,4,32,19,19,21,6,30,17,2,34
SEIR015_sl1000_mr0125_nv10_6,12,2,23,28,0,7,28,1,7,29,8,6,25,3,10,27,1,8
